"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"80",-0.467773,-0.203857,0.815918,-0.559326,0.616455,0.61499,"27/2/2019",15,23,47,29.0832893543348,0.166504,0.147949,342566,2019-02-27 15:23:47,"Vigilance"
"81",-0.455811,-0.227783,0.827881,-0.55957,0.617676,0.61377,"27/2/2019",15,23,48,27.9615482150834,0.16626,0.152588,342567,2019-02-27 15:23:48,"NA"
"82",-0.467773,-0.203857,0.839844,-0.560059,0.618896,0.612549,"27/2/2019",15,23,48,28.4248700183217,0.201904,0.181641,342568,2019-02-27 15:23:48,"NA"
"83",-0.47998,-0.21582,0.86377,-0.560791,0.621582,0.610107,"27/2/2019",15,23,48,28.3294217874967,0.244629,0.212646,342569,2019-02-27 15:23:48,"NA"
"84",-0.467773,-0.203857,0.86377,-0.560791,0.621582,0.610107,"27/2/2019",15,23,48,27.7922867010241,0.253906,0.216797,342570,2019-02-27 15:23:48,"NA"
"85",-0.467773,-0.21582,0.86377,-0.561035,0.621338,0.610352,"27/2/2019",15,23,48,27.7172724157732,0.262939,0.231934,342571,2019-02-27 15:23:48,"NA"
"86",-0.467773,-0.203857,0.851807,-0.561279,0.621338,0.610596,"27/2/2019",15,23,48,28.1054297692956,0.269775,0.246094,342572,2019-02-27 15:23:48,"NA"
"87",-0.455811,-0.227783,0.86377,-0.561768,0.62085,0.611084,"27/2/2019",15,23,48,27.0332028388205,0.293945,0.250732,342573,2019-02-27 15:23:48,"NA"
"88",-0.467773,-0.21582,0.815918,-0.561279,0.62085,0.611084,"27/2/2019",15,23,48,28.997290827858,0.300049,0.276123,342574,2019-02-27 15:23:48,"NA"
"89",-0.47998,-0.21582,0.839844,-0.560791,0.62085,0.61084,"27/2/2019",15,23,48,28.9656901022647,0.315918,0.302734,342575,2019-02-27 15:23:48,"NA"
"90",-0.47998,-0.227783,0.839844,-0.560303,0.62085,0.610596,"27/2/2019",15,23,48,28.8804019453716,0.343262,0.317627,342576,2019-02-27 15:23:48,"NA"
"91",-0.503906,-0.251953,0.791992,-0.559082,0.62085,0.610107,"27/2/2019",15,23,48,31.2288593924469,0.44043,0.359619,342577,2019-02-27 15:23:48,"NA"
"92",-0.491943,-0.23999,0.803955,-0.559326,0.621338,0.610107,"27/2/2019",15,23,48,30.3846747463701,0.417236,0.358154,342578,2019-02-27 15:23:48,"NA"
"93",-0.515869,-0.23999,0.827881,-0.559814,0.62207,0.610352,"27/2/2019",15,23,48,30.8997119427459,0.428711,0.393555,342579,2019-02-27 15:23:48,"NA"
"94",-0.527832,-0.227783,0.815918,-0.560059,0.622559,0.610352,"27/2/2019",15,23,48,31.9267107068533,0.45166,0.417236,342580,2019-02-27 15:23:48,"NA"
"95",-0.503906,-0.227783,0.803955,-0.560547,0.623291,0.610596,"27/2/2019",15,23,48,31.0919231457907,0.450684,0.405762,342581,2019-02-27 15:23:48,"NA"
"96",-0.527832,-0.21582,0.791992,-0.560791,0.623779,0.610596,"27/2/2019",15,23,48,32.7415997166241,0.484863,0.441895,342582,2019-02-27 15:23:48,"NA"
"97",-0.515869,-0.21582,0.803955,-0.561279,0.624512,0.61084,"27/2/2019",15,23,48,31.7874276575034,0.471436,0.441162,342583,2019-02-27 15:23:48,"NA"
"98",-0.503906,-0.21582,0.743896,-0.558838,0.623047,0.60791,"27/2/2019",15,23,48,33.0464895964911,0.530273,0.447998,342584,2019-02-27 15:23:48,"NA"
"99",-0.491943,-0.203857,0.719971,-0.556152,0.621582,0.60498,"27/2/2019",15,23,48,33.322353277256,0.544922,0.452637,342585,2019-02-27 15:23:48,"NA"
"100",-0.47998,-0.203857,0.743896,-0.553467,0.620117,0.601807,"27/2/2019",15,23,48,31.8932434551848,0.52002,0.44751,342586,2019-02-27 15:23:48,"NA"
"101",-0.47998,-0.203857,0.719971,-0.548096,0.617188,0.595703,"27/2/2019",15,23,48,32.6780777351759,0.555176,0.464111,342587,2019-02-27 15:23:48,"NA"
"102",-0.491943,-0.203857,0.695801,-0.54541,0.617188,0.594482,"27/2/2019",15,23,48,34.1567269940733,0.602539,0.493164,342588,2019-02-27 15:23:48,"NA"
"103",-0.47998,-0.191895,0.671875,-0.542725,0.617188,0.593018,"27/2/2019",15,23,48,34.4859777621396,0.638184,0.500244,342589,2019-02-27 15:23:48,"NA"
"104",-0.431885,-0.179932,0.671875,-0.540039,0.617188,0.591553,"27/2/2019",15,23,48,31.8371702081728,0.61377,0.466797,342590,2019-02-27 15:23:48,"NA"
"105",-0.323975,-0.203857,0.635986,-0.534424,0.617188,0.588623,"27/2/2019",15,23,48,25.8777816795245,0.531494,0.392578,342591,2019-02-27 15:23:48,"NA"
"106",-0.251953,-0.203857,0.611816,-0.527588,0.617188,0.58667,"27/2/2019",15,23,48,21.3403162933518,0.496826,0.354736,342592,2019-02-27 15:23:48,"NA"
"107",-0.167969,-0.227783,0.587891,-0.520752,0.617188,0.584717,"27/2/2019",15,23,48,14.9179999080872,0.474121,0.318359,342593,2019-02-27 15:23:48,"NA"
"108",-0.0959473,-0.203857,0.611816,-0.513916,0.617188,0.58252,"27/2/2019",15,23,48,8.46250625070057,0.36792,0.26123,342594,2019-02-27 15:23:48,"NA"
"109",0.0119629,-0.155762,0.647949,-0.5,0.617188,0.578369,"27/2/2019",15,23,48,-1.02842403407994,0.281494,0.188721,342595,2019-02-27 15:23:48,"NA"
"110",0.263916,-0.0839844,0.791992,-0.48999,0.617188,0.580811,"27/2/2019",15,23,48,-18.3337880604057,0.319092,0.212158,342596,2019-02-27 15:23:48,"NA"
